#OTUID	S264_NSW1079774	S266_NSW1079799	S267_NSW1079761	S268_NSW1079767	S269_NSW1079762	S271_NSW1079765	S276_NSW1079738	S277_NSW1079743	S284_NSW1074429	S285_NSW1074428	S286_NSW1079654	S287_NSW1079675	S288_NSW1074458	S289_NSW1074423	S291_NSW1079814	S292_NSW1079784	S295_NSW1079794	S297_NSW1079755	S298_NSW1079750	S299_NSW1079723	S300_NSW1079708	S301_NSW1079713	S302_NSW1079692	S303_NSW1079703	S305_NSW1079718	S306_NSW1079658	S308_NSW1079697	S316_NSW1079793	S317_NSW1079783	S318_NSW1079813	S319_NSW1079808	S320_NSW1079747	S368_NSW1079721	S369_NSW1079821	S370_NSW1079798	S371_NSW1079707	S44_NSW1079717	S5_NSW1079752
135	0	0	0	0	0	87	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	137	49	0	0	0	232	41	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	6	11	0	58	300	15	0
138	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	22	0	0	0	0
139	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	0	175	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	14	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	19	0	0	0	0
142	0	0	0	0	0	0	0	0	0	0	0	14	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	44	0
143	0	0	0	0	0	0	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
144	0	0	0	0	0	0	0	0	43	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	25	0
145	28	0	0	0	0	4068	483	0	37	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	65	0	51	0	0
146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0	110	22	19	0
147	19	0	324	41	0	35	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	150	0
148	0	0	0	0	0	140	0	0	43	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
149	0	0	31	0	0	0	230	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	81	0	0	7	0
150	0	0	0	0	0	0	0	0	61	0	0	16	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	12	0
151	24	0	15	0	0	53	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	88	0	63	0	0
152	94	0	0	0	0	102	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0
153	51	0	54	0	0	236	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	50	0	0	0	12	0	0	0	0
154	105	0	0	0	0	0	59	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0
