"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","name","pval","qval","selected","shared interaction","shared name","weight"
"dist_bray","0.0","1.0","","copresence","364->169","364->169=dist_bray","NaN","NaN","false","","364->169=dist_bray","0.0151697"
"correl_pearson","2.0","1.0","","copresence","364->169","364->169=correl_pearson","0.0","0.0","false","","364->169=correl_pearson","0.9998347960540326"
"correl_pearson","4.0","4.166666666666666","","copresence","364->25","364->25=correl_pearson","0.0","0.0","false","","364->25=correl_pearson","0.9963402782369046"
"correl_pearson","0.0","4.0","","copresence","11->169","11->169=correl_pearson","0.0","0.0","false","","11->169=correl_pearson","0.0"
"correl_pearson","0.0","6.5","","copresence","11->235","11->235=correl_pearson","0.0","0.0","false","","11->235=correl_pearson","0.0"
"correl_pearson","1.0","4.0","","copresence","11->289","11->289=correl_pearson","0.0","0.0","false","","11->289=correl_pearson","0.0"
"dist_bray","4.0","6.5","","copresence","11->235","11->235=dist_bray","NaN","NaN","false","","11->235=dist_bray","0.01079375"
"dist_bray","2.0","5.666666666666666","","copresence","11->25","11->25=dist_bray","NaN","NaN","false","","11->25=dist_bray","0.06866813"
"dist_bray","2.0","4.0","","copresence","11->169","11->169=dist_bray","NaN","NaN","false","","11->169=dist_bray","0.02051382"
"correl_pearson","0.0","4.0","","copresence","11->364","11->364=correl_pearson","0.0","0.0","false","","11->364=correl_pearson","0.0"
"dist_bray","2.0","4.0","","copresence","11->364","11->364=dist_bray","NaN","NaN","false","","11->364=dist_bray","0.00534412"
"correl_pearson","0.0","1.0","","copresence","486->373","486->373=correl_pearson","0.0","0.0","false","","486->373=correl_pearson","0.9971422371401176"
"correl_pearson","0.0","4.0","","copresence","486->500","486->500=correl_pearson","0.0","0.0","false","","486->500=correl_pearson","0.0"
"dist_bray","4.0","4.0","","copresence","486->500","486->500=dist_bray","NaN","NaN","false","","486->500=dist_bray","0.09112879"
"dist_bray","4.0","6.0","","copresence","373->486","373->486=dist_bray","NaN","NaN","false","","373->486=dist_bray","0.08130081"
"correl_pearson","0.0","27.0","","copresence","132->88","132->88=correl_pearson","0.0","0.0","false","","132->88=correl_pearson","0.9881488929500593"
"correl_pearson","0.0","64.5","","copresence","132->53","132->53=correl_pearson","0.0","0.0","false","","132->53=correl_pearson","0.9965886423312648"
"dist_bray","0.0","88.0","","copresence","132->115","132->115=dist_bray","NaN","NaN","false","","132->115=dist_bray","0.09615385"
