	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
278	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	72044eb5bf7547604f4f799bec4c3acb	278	NonKeystone
279	Fungi	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	721adb46c398d407deab19a47ac6b724	279	NonKeystone
280	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	72d3f965952bd7b4221368d24c6402c2	280	NonKeystone
281	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Naemateliaceae	Dimennazyma	73453453a06bac30d1c88cb6863ad4d6	281	NonKeystone
282	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	73f54dd315262f59b0c481e410d19eff	282	NonKeystone
283	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	7408a730c187d0a0673f16805ad3aae4	283	NonKeystone
284	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	764963d63e736561fbf3e7e7baceb754	284	NonKeystone
285	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Naemateliaceae	Dimennazyma	766e279d055630cd126f0d21cab99cc1	285	Keystone
286	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	7704ceca996b30a4fbd75b36830f5328	286	NonKeystone
287	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	7753fdbe05e750dbebdfa2dfd50fe2a5	287	NonKeystone
288	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	78380f34b0cc0fe75299bc0ad51932da	288	NonKeystone
289	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	7adf9dcc7c77133e6407167819bbde72	289	NonKeystone
290	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	7bada3ac0936686be515238ad62e75a3	290	NonKeystone
291	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	7c0ef5956d54799db0950f167cec501a	291	NonKeystone
292	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	7ca86a91e6296f55d7eb9c3f24692ac8	292	NonKeystone
293	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	7d7b9bc0ce4c044ef8190f46c7ed0e1b	293	NonKeystone
294	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	7e6f27b6da3d0f875a44dc6c2a9a1019	294	NonKeystone
295	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	7efc9805afda1187988172fd59c54a85	295	NonKeystone
296	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	7f762e1b28df06083d699eee075cd9bd	296	NonKeystone
297	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	810f615b2439bf648a85a713584fdd9e	297	NonKeystone
298	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	8237c2e3d9b1d514ad7391974191de91	298	NonKeystone
299	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	82ba2c9dcc4f9cb6e18d672c5720da0f	299	NonKeystone
300	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	82e17ed2c2b1107a25be0f58324e4b80	300	NonKeystone
301	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	83f1f2928377f78af7b566d23c4ead2c	301	NonKeystone
302	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales	Dothideales	8490570b160af97e508c2cabc8e15f66	302	NonKeystone
303	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotryaceae	84c53977e92683af0e4a42b42a9a5509	303	NonKeystone
304	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	8649def56b1b71b8c0b5f5b752ef7e38	304	NonKeystone
305	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	86b1ca014a4987b51d050d47333052e2	305	NonKeystone
