"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","5.0","117.1666666666666","","copresence","495->487","2","0.9999475229336572|0.01014199","","495->487","0.0","0.0","false","","495->487","2.0"
"correl_pearson|dist_bray","3.0","43.66666666666668","","copresence","495->491","2","0.0|0.9999999999999986","","495->491","0.0","0.0","false","","495->491","2.0"
"correl_pearson|dist_bray","65.0","520.3761238761241","","copresence","495->362","2","0.01358696|0.9999051474509392","","495->362","0.0","0.0","false","","495->362","2.0"
"correl_pearson|dist_bray","7.0","63.04444444444444","","copresence","495->363","2","0.0|0.9999999999999976","","495->363","0.0","0.0","false","","495->363","2.0"
"correl_pearson|dist_bray","3.0","39.202898550724626","","copresence","495->370","2","0.06313131|0.9982217366955284","","495->370","0.0","0.0","false","","495->370","2.0"
"correl_pearson|dist_bray","2.0","41.16666666666667","","copresence","495->374","2","0.04336735|0.9989722881044776","","495->374","0.0","0.0","false","","495->374","2.0"
"correl_pearson|dist_bray","5.0","110.83333333333339","","copresence","495->378","2","0.0911271|0.9983377303613454","","495->378","0.0","0.0","false","","495->378","2.0"
"correl_pearson|dist_bray","100.0","946.3184610099053","","copresence","495->511","2","0.0|0.07581227","","495->511","0.0","0.0","false","","495->511","2.0"
"correl_pearson|dist_bray","7.0","66.66349206349207","","copresence","495->254","2","0.0|0.9999999999999982","","495->254","0.0","0.0","false","","495->254","2.0"
"correl_pearson|dist_bray","2.0","28.600000000000012","","copresence","309->408","2","0.0|0.01207729","","309->408","0.0","0.0","false","","309->408","2.0"
"correl_pearson|dist_bray","2.0","32.5","","copresence","309->427","2","0.0","","309->427","0.0","0.0","false","","309->427","2.0"
"correl_pearson|dist_bray","37.0","95.95978582820688","","copresence","309->468","2","0.0|0.08576998","","309->468","0.0","0.0","false","","309->468","2.0"
"correl_pearson|dist_bray","2.0","28.600000000000012","","copresence","309->469","2","0.0|0.00634249","","309->469","0.0","0.0","false","","309->469","2.0"
"correl_pearson|dist_bray","147.0","384.6718994455836","","copresence","309->480","2","0.0","","309->480","0.0","0.0","false","","309->480","2.0"
"correl_pearson|dist_bray","4.0","58.933333333333316","","copresence","309->482","2","0.0|0.08349146","","309->482","0.0","0.0","false","","309->482","2.0"
"correl_pearson|dist_bray","7.0","104.43333333333332","","copresence","309->487","2","0.0|0.01014199","","309->487","0.0","0.0","false","","309->487","2.0"
"correl_pearson|dist_bray","96.0","245.91584263689515","","copresence","309->491","2","0.0","","309->491","0.0","0.0","false","","309->491","2.0"
"correl_pearson|dist_bray","15.0","100.24906204906206","","copresence","309->302","2","0.0|0.9999999999999992","","309->302","0.0","0.0","false","","309->302","2.0"
"correl_pearson|dist_bray","114.0","545.8030758714968","","copresence","309->362","2","0.0|0.01358696","","309->362","0.0","0.0","false","","309->362","2.0"
"correl_pearson|dist_bray","3.0","27.202898550724615","","copresence","309->370","2","0.0|0.06313131","","309->370","0.0","0.0","false","","309->370","2.0"
"correl_pearson|dist_bray","3.0","32.933333333333316","","copresence","309->374","2","0.0|0.04336735","","309->374","0.0","0.0","false","","309->374","2.0"
"correl_pearson|dist_bray","43.0","199.95978582820703","","copresence","309->378","2","0.0|0.0911271","","309->378","0.0","0.0","false","","309->378","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","194->434","2","0.0|0.0606865","","194->434","0.0","0.0","false","","194->434","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","194->349","2","0.0|0.04166667","","194->349","0.0","0.0","false","","194->349","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","443->264","2","0.9861609784141959|0.09387513","","443->264","0.0","0.0","false","","443->264","2.0"
"correl_pearson|dist_bray","3.0","45.91666666666668","","copresence","455->294","2","0.01666667|0.9998563654080482","","455->294","0.0","0.0","false","","455->294","2.0"
"correl_pearson|dist_bray","6.0","59.73111888111892","","copresence","455->403","2","0.0|0.9999999999999993","","455->403","0.0","0.0","false","","455->403","2.0"
"correl_pearson|dist_bray","3.0","39.0","","copresence","455->408","2","0.9999252874878184|0.01207729","","455->408","0.0","0.0","false","","455->408","2.0"
"correl_pearson|dist_bray","13.0","78.73494152046779","","copresence","455->432","2","0.0|0.9999999999999978","","455->432","0.0","0.0","false","","455->432","2.0"
"correl_pearson|dist_bray","4.0","41.95357142857143","","copresence","455->469","2","0.0|0.00634249","","455->469","0.0","0.0","false","","455->469","2.0"
"correl_pearson|dist_bray","4.0","48.48717948717948","","copresence","455->474","2","0.0","","455->474","0.0","0.0","false","","455->474","2.0"
"correl_pearson|dist_bray","7.0","54.43470418470418","","copresence","455->483","2","0.0","","455->483","0.0","0.0","false","","455->483","2.0"
"correl_pearson|dist_bray","22.0","104.39027364971521","","copresence","455->498","2","0.0|0.04952381","","455->498","0.0","0.0","false","","455->498","2.0"
"correl_pearson|dist_bray","1.0","29.0","","copresence","455->322","2","0.0|0.9999999999999961","","455->322","0.0","0.0","false","","455->322","2.0"
"correl_pearson|dist_bray","2.0","36.25","","copresence","455->327","2","0.04927536|0.9986568357634618","","455->327","0.0","0.0","false","","455->327","2.0"
