Sample_ID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession
S159_NSW1092624_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092624
S160_NSW1092619_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092619
S161_NSW1092628_FWD10	FALSE	FALSE	Sample	Themeda_triandra	Tathra_APZ_Panorama_Drive	Themeda_triandra_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Themeda_triandra	Themeda_triandra_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092628
S162_NSW1092531_FWD10	FALSE	FALSE	Sample	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	Microlaena_stipoides_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092531
S163_NSW1092542_FWD10	FALSE	FALSE	Sample	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	Microlaena_stipoides_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092542
S164_NSW1092537_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	Microlaena_stipoides_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092537
S165_NSW1092532_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	Microlaena_stipoides_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092532
S166_NSW1092615_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	Microlaena_stipoides_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092615
S167_NSW1092620_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	Microlaena_stipoides_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092620
S168_NSW1092618_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	Microlaena_stipoides_Tathra_APZ_Panorama_Drive	Tathra_APZ_Panorama_Drive_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Tathra_APZ_Panorama_Drive	South_Coast	Restored	NSW1092618
S169_NSW1092522_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Microlaena_stipoides_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092522
S17_NSW1092636_FWD09	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092636
S170f_NSW1092505_FWD23	FALSE	FALSE	Sample	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Microlaena_stipoides_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092505
S171_NSW1092506_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Microlaena_stipoides_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092506
S172_NSW1092507_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Microlaena_stipoides_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092507
S173_NSW1092508_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Microlaena_stipoides_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092508
S174_NSW1092521_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Microlaena_stipoides_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092521
S175_NSW1092520_FWD11	FALSE	FALSE	Sample	Microlaena_stipoides	Noorumba_Reserve_Rosemeadow	Microlaena_stipoides_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092520
S176_NSW1092503_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092503
S177_NSW1092518_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092518
S178_NSW1092510_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092510
S179_NSW1092511_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092511
S180_NSW1092513_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092513
S181_NSW1092514_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092514
S182_NSW1092517_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092517
S183_NSW1092516_FWD12	FALSE	FALSE	Sample	Themeda_triandra	Noorumba_Reserve_Rosemeadow	Themeda_triandra_Noorumba_Reserve_Rosemeadow	Noorumba_Reserve_Rosemeadow_Themeda_triandra	Themeda_triandra_Natural	Natural_Noorumba_Reserve_Rosemeadow	Sydney	Natural	NSW1092516
S184_NSW1092491_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092491
S185_NSW1092492_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092492
S186_NSW1092493_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092493
S187_NSW1092494_FWD12	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092494
S188_NSW1092496_FWD13	FALSE	FALSE	Sample	Microlaena_stipoides	Crest_Reserve_Bankstown	Microlaena_stipoides_Crest_Reserve_Bankstown	Crest_Reserve_Bankstown_Microlaena_stipoides	Microlaena_stipoides_Restored	Restored_Crest_Reserve_Bankstown	Sydney	Restored	NSW1092496
