SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site	Primer_with_WEHI_adapter	Index_PCR_Plate	Fwd_primer	FWDprimer	REVPrimer	Rev_Primer
S147_NSW1092881_FWD14	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV10	Rev_10
S148_NSW1092886_FWD14	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV11	Rev_11
S149_NSW1092891_FWD14	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny	515f/806r	Allison_Plate 1_Run3	Fwd_14	FWD14	REV12	Rev_12
S15_NSW1092567_FWD19	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_19	FWD19	REV15	Rev_15
S150_NSW1092901_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV01	Rev_01
S151_NSW1092906_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV02	Rev_02
S152_NSW1092926_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV03	Rev_03
S153_NSW1092931_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV04	Rev_04
S154_NSW1092536_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV05	Rev_05
S155_NSW1092613_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV06	Rev_06
S156_NSW1092623_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV07	Rev_07
S157_NSW1092629_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV08	Rev_08
S158_NSW1092630_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV09	Rev_09
S159_NSW1092624_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV10	Rev_10
S160_NSW1092619_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV11	Rev_11
S161_NSW1092628_FWD15	FALSE	FALSE	Themeda_triandra	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_15	FWD15	REV12	Rev_12
S162_NSW1092531_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV01	Rev_01
S163_NSW1092542_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV02	Rev_02
S164_NSW1092537_FWD16	FALSE	FALSE	Microlaena_stipoides	Tathra_APZ_Panorama_Drive	South_Coast	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_South_Coast	Restored_Tathra_APZ_Panorama_Drive	515f/806r	Allison_Plate 1_Run3	Fwd_16	FWD16	REV03	Rev_03
