	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
389	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	c27f272e57d9d2f18e7a604a03b70acc	389
390	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	c6b3b1e5a7333153fd2532117032a746	390
391	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	c6c303ec40570a32fc80931121416ba7	391
392	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	c79cca969d5822e0395fac2129a132de	392
393	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	c7b44c8597bd0404ec91f0dffd8d9339	393
394	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Dothiora	c821d65c783f4711b8390404c506a0c7	394
395	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Sporocadaceae	c92479b40af0a4975f7c065a2af76245	395
396	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	ca5dbe655438b249d51eb24dec7355e8	396
397	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	caee2b30b66a7c5e3bd58772fb06d35e	397
398	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	cb02ed5cf6c36d9f39eef9b9de218de9	398
399	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	cb1f0f2034911892190666c248c43d91	399
400	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Dothidea	cbf61a6d9469ba7d7c46860c393194c9	400
401	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	ccd4780ec438e2bafad794ca188d894b	401
402	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales_fam_Incertae_sedis	Selenophoma	cd4359d0b7c07928b6154661a2b17ab8	402
403	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	cdc32d4ace4031efa565e1dd8193821a	403
404	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriaceae	d1dc43e8749c4e087c12f05589894346	404
405	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	d293362ee00ad1d6b20c714838d202be	405
406	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	d2c55ee3552a78921c21f00030d2cda6	406
407	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	d3b6d627f63463264786cf9afff3f480	407
408	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideales	Dothideales	d436a62bb46cc35f3adb59159c80e77d	408
409	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	d6c978e6c2730659cb3432fd4da8972e	409
410	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	d7a9a110d2e745357d1f8284dc3a950b	410
411	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosulcatispora	d8bf9dba9cae56803772156fa790501a	411
412	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	d8dfc78f8da44d49ed90b1ab9b0da839	412
413	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Pseudoseptoria	dbc72d5e1ee996ecf2a49807df578999	413
414	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira	dbc9a1e155b86e10dd3072ea301ac0b3	414
415	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	dc5c638730f175c27575812a89de71a8	415
416	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	de39948a0a9d4a7c81e928a89c43820c	416
417	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	e1458ba0cdead080ae9503cb2dfd1e59	417
