abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,Eccentricity Dir,EdgeCount,EigenVector Dir,Family,Genus,Indegree,IsSingleNode,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,Outdegree,PartnerOfMultiEdgedNodePairs,phylum,posdegree,samplecount,selected,SelfLoops,shared name,Species,Stress,unknowndegree
238,1.75,0,0,0,-4,Dothideomycetes,2.833333333,0.571428571,0,2,3,0.333333333,2,-52.39287906,Didymellaceae,Neoascochyta,0,FALSE,Fungi,128,,Unclustered,0.666666667,128,0,2,Pleosporales,128,2,0,Ascomycota,2,2,FALSE,0,128,0462035e2c4ff1b7a9404146ecae7a7b,0,0
526,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,0,1,5.51E-15,Botryosphaeriaceae,Botryosphaeria,1,FALSE,Fungi,414,,Unclustered,0,414,0,4,Botryosphaeriales,414,0,0,Ascomycota,1,3,FALSE,0,414,b208a68abeebcafd85d48153ea5c5936,0,0
494,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,0,1,0.112895667,Phaeosphaeriaceae,Neostagonospora,1,FALSE,Fungi,350,,Unclustered,0,350,0,4,Pleosporales,350,0,0,Ascomycota,1,2,FALSE,0,350,8b82f513b271b184f96e2267739537ee,0,0
318,1.5,0,0,0,-2,Gammaproteobacteria,1.5,0.666666667,0,1,2,0.5,1,16.03204145,Comamonadaceae,Comamonadaceae,0,FALSE,Bacteria,100,,Unclustered,0,100,0,2,Burkholderiales,100,1,0,Proteobacteria,1,2,FALSE,0,100,cc2915b764b53d86be9c17337954ba02,0,0
662,1,2,0.25,0.315789474,-3,Dothideomycetes,3,1,0.083333333,4,1,1,4,4.087195579,Pleosporales,Pleosporales,1,FALSE,Fungi,497,Cluster 5,Clustered,2,497,0,2.75,Pleosporales,497,3,0,Ascomycota,4,2,FALSE,0,497,eac1170de4007537732848dd8c367311,18,0
1312,0,0,0,0,0,Dothideomycetes,0,0,0.333333333,3,0,0,3,-8.07E-15,Didymosphaeriaceae,Paraphaeosphaeria,3,FALSE,Fungi,286,Cluster 9,Clustered,1.666666667,286,0,3.333333333,Pleosporales,286,0,0,Ascomycota,3,2,FALSE,0,286,5ec7c71908e9ed0f394cfb7e9c061544,0,0
625,0,0,0,0,0,Dothideomycetes,0,0,0,1,0,0,1,-0.033138374,Neodevriesiaceae,Neodevriesia,1,FALSE,Fungi,515,,Unclustered,0,515,0,2,Capnodiales,515,0,0,Ascomycota,1,2,FALSE,0,515,f7886e05871ff37df8e2db55dc874a91,0,0
652,1,0,0,0,-2,Dothideomycetes,2,1,0,2,1,1,2,-0.119230991,Didymellaceae,Epicoccum,0,FALSE,Fungi,478,,Unclustered,0.666666667,478,0,1,Pleosporales,478,2,0,Ascomycota,2,2,FALSE,0,478,dd67431715522e7e0144bc1db5a74c82,0,0
736,0,0,0,0,0,Cystobasidiomycetes,0,0,0,1,0,0,1,3.16E-13,Symmetrosporaceae,Symmetrospora,1,FALSE,Fungi,512,,Unclustered,0,512,0,1,Cystobasidiomycetes_ord_Incertae_sedis,512,0,0,Basidiomycota,1,3,FALSE,0,512,f5c53e0677a97550d4792a4d3e949353,0,0
510,1,0,0,0,-1,Sordariomycetes,1,1,0,1,1,1,1,-2.788053178,Nectriaceae,Fusarium,0,FALSE,Fungi,369,,Unclustered,0,369,0,1,Hypocreales,369,1,0,Ascomycota,1,6,FALSE,0,369,9685d5efab791e0ab92349203828495c,0,0
