"cooc_method","Edge Betweenness Dir","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","9.0",,"copresence","747->594","2","0.9944223268532777|0.09574468","","747->594","0.0","0.0","false",,"747->594","2.0"
"correl_pearson|dist_bray","24.0",,"copresence","198->357","2","0.0","","198->357","0.0","0.0","false",,"198->357","2.0"
"correl_pearson|dist_bray","497.0",,"copresence","234->709","2","0.0","","234->709","0.0","0.0","false",,"234->709","2.0"
"correl_pearson|dist_bray","153.0",,"copresence","441->501","2","0.0","","441->501","0.0","0.0","false",,"441->501","2.0"
"correl_pearson|dist_bray","840.0",,"copresence","638->678","2","0.0","","638->678","0.0","0.0","false",,"638->678","2.0"
"correl_pearson|dist_bray","1315.0",,"copresence","741->451","2","0.9999555021154507|0.00934579","","741->451","0.0","0.0","false",,"741->451","2.0"
"correl_pearson|dist_bray","243.0",,"copresence","234->501","2","0.0","","234->501","0.0","0.0","false",,"234->501","2.0"
"correl_pearson|dist_bray","25.0",,"copresence","517->501","2","0.04251386|0.9995147251531753","","517->501","0.0","0.0","false",,"517->501","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","634->501","2","0.9999553618403991|0.00936037","","634->501","0.0","0.0","false",,"634->501","2.0"
"correl_pearson|dist_bray","23.0",,"copresence","307->450","2","0.0","","307->450","0.0","0.0","false",,"307->450","2.0"
"correl_pearson|dist_bray","18.0",,"copresence","289->638","2","0.0","","289->638","0.0","0.0","false",,"289->638","2.0"
"correl_pearson|dist_bray","1307.0",,"copresence","451->265","2","0.0|0.9999999999999957","","451->265","0.0","0.0","false",,"451->265","2.0"
"correl_pearson|dist_bray","9.0",,"copresence","450->622","2","0.0","","450->622","0.0","0.0","false",,"450->622","2.0"
"correl_pearson|dist_bray","47.0",,"copresence","639->323","2","0.0|0.9999999999999976","","639->323","0.0","0.0","false",,"639->323","2.0"
"correl_pearson|dist_bray","38496.0",,"copresence","678->451","2","0.0|0.9999999999999921","","678->451","0.0","0.0","false",,"678->451","2.0"
"correl_pearson|dist_bray","7.0",,"copresence","639->517","2","0.9995147251531741|0.04251386","","639->517","0.0","0.0","false",,"639->517","2.0"
"correl_pearson|dist_bray","13.0",,"copresence","638->671","2","0.0","","638->671","0.0","0.0","false",,"638->671","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","307->517","2","0.0|0.04251386","","307->517","0.0","0.0","false",,"307->517","2.0"
"correl_pearson|dist_bray","278.0",,"copresence","344->671","2","0.0","","344->671","0.0","0.0","false",,"344->671","2.0"
"correl_pearson|dist_bray","1.0",,"copresence","634->439","2","0.03719912|0.9994757107856201","","634->439","0.0","0.0","false",,"634->439","2.0"
"correl_pearson|dist_bray","351.0",,"copresence","441->709","2","0.0","","441->709","0.0","0.0","false",,"441->709","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","741->234","2","0.9999555021154544|0.00934579","","741->234","0.0","0.0","false",,"741->234","2.0"
"correl_pearson|dist_bray","401.0",,"copresence","357->709","2","0.0","","357->709","0.0","0.0","false",,"357->709","2.0"
"correl_pearson|dist_bray","1450.0",,"copresence","517->678","2","0.0|0.04251386","","517->678","0.0","0.0","false",,"517->678","2.0"
"correl_pearson|dist_bray","33.0",,"copresence","637->323","2","0.0|0.999999999999996","","637->323","0.0","0.0","false",,"637->323","2.0"
"correl_pearson|dist_bray","1.0",,"copresence","741->594","2","0.9943603096391642|0.09574468","","741->594","0.0","0.0","false",,"741->594","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","622->344","2","0.0|0.9999999999999999","","622->344","0.0","0.0","false",,"622->344","2.0"
"correl_pearson|dist_bray","17.0",,"copresence","198->243","2","0.0","","198->243","0.0","0.0","false",,"198->243","2.0"
"correl_pearson|dist_bray","17.0",,"copresence","307->265","2","0.0|0.9999999999999954","","307->265","0.0","0.0","false",,"307->265","2.0"
"correl_pearson|dist_bray","3.0",,"copresence","622->439","2","0.03719912|0.9995268470140535","","622->439","0.0","0.0","false",,"622->439","2.0"
"correl_pearson|dist_bray","9.0",,"copresence","207->243","2","0.0","","207->243","0.0","0.0","false",,"207->243","2.0"
"correl_pearson|dist_bray","43.0",,"copresence","307->741","2","0.0|0.00934579","","307->741","0.0","0.0","false",,"307->741","2.0"
"correl_pearson|dist_bray","7.0",,"copresence","634->435","2","0.00936037|0.9999553618404025","","634->435","0.0","0.0","false",,"634->435","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","747->357","2","0.0|0.9999999999999991","","747->357","0.0","0.0","false",,"747->357","2.0"
