Sample	SampleID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession	SitePair
S293_NSW1079819_FWD21	S293_NSW1079819_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Lake_Innes_NR	Melaleuca_quinquenervia_Lake_Innes_NR	Lake_Innes_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Lake_Innes_NR	North_Coast	Natural	NSW1079819	SitePair5
S294_NSW1079745_FWD21	S294_NSW1079745_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Lake_Innes_NR	Melaleuca_quinquenervia_Lake_Innes_NR	Lake_Innes_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Lake_Innes_NR	North_Coast	Natural	NSW1079745	SitePair5
S295_NSW1079794_FWD21	S295_NSW1079794_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Lake_Innes_NR	Melaleuca_quinquenervia_Lake_Innes_NR	Lake_Innes_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Lake_Innes_NR	North_Coast	Natural	NSW1079794	SitePair5
S296_NSW1079789_FWD22	S296_NSW1079789_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Lake_Innes_NR	Melaleuca_quinquenervia_Lake_Innes_NR	Lake_Innes_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Lake_Innes_NR	North_Coast	Natural	NSW1079789	SitePair5
S297_NSW1079755_FWD22	S297_NSW1079755_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Lake_Innes_NR	Melaleuca_quinquenervia_Lake_Innes_NR	Lake_Innes_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Lake_Innes_NR	North_Coast	Natural	NSW1079755	SitePair5
S298_NSW1079750_FWD22	S298_NSW1079750_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Lake_Innes_NR	Melaleuca_quinquenervia_Lake_Innes_NR	Lake_Innes_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Lake_Innes_NR	North_Coast	Natural	NSW1079750	SitePair5
S383f_NSW1079760_FWD22	S383f_NSW1079760_FWD22	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Lake_Innes_NR	Melaleuca_quinquenervia_Lake_Innes_NR	Lake_Innes_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Lake_Innes_NR	North_Coast	Natural	NSW1079760	SitePair5
S264_NSW1079774_FWD19	S264_NSW1079774_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079774	SitePair3
S266_NSW1079799_FWD19	S266_NSW1079799_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079799	SitePair3
S267_NSW1079761_FWD19	S267_NSW1079761_FWD19	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Limeburners_Creek_National_Park	Melaleuca_quinquenervia_Limeburners_Creek_National_Park	Limeburners_Creek_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Limeburners_Creek_National_Park	North_Coast	Natural	NSW1079761	SitePair3
