	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
17	Bacteria	 Actinobacteriota	 Actinobacteria	 Streptomycetales	Streptomycetaceae	Streptomyces	120dfde8f9d1ad036aa1940f554feea0	17	NonKeystone
18	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	13ad238ff80cde86ce862692d31236d7	18	NonKeystone
19	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acidiphilium	16c0e3b150b4876a0a40172021480cb1	19	NonKeystone
20	Bacteria	 Acidobacteriota	 Acidobacteriae	 Acidobacteriales	Acidobacteriaceae_(Subgroup_1)	Bryocella	1754b5ae498463b967561ab783828f90	20	NonKeystone
21	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	176f6a18afc67d250fbe81ff790b83b1	21	NonKeystone
22	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae	1a94db7e700ca70c5a8ab5bbed56130b	22	NonKeystone
23	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	1b3a9dbef5073d8b83e169bdd738f1a3	23	NonKeystone
24	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae	1ba7b92ab8ef59155956b25bed0d2836	24	NonKeystone
25	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Devosiaceae	Devosia	1c2b8892a0d7f828d72808cd01cfd199	25	NonKeystone
26	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	Weeksellaceae	Chryseobacterium	1c58e786550cf680371ff55bedc557f5	26	NonKeystone
27	Bacteria	 Actinobacteriota	 Actinobacteria	 Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	1c7a5248b18573f28b2901a63298dbc7	27	NonKeystone
28	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae	1d4cb1234a95bad047851916cca793da	28	NonKeystone
29	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	1d774c4f35aed3fb28a2e35a63baefb4	29	NonKeystone
30	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	Acetobacteraceae	Acetobacteraceae	1e30c80a316e14620f2c4167ace27cf1	30	NonKeystone
31	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	Burkholderiaceae	Robbsia	1ec9fd06c88669eb15764e0b441ade46	31	NonKeystone
32	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	Pseudomonadaceae	Pseudomonas	1f8ddfcd39344a0ff3820f177db862e2	32	NonKeystone
33	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Beijerinckiaceae	Beijerinckiaceae	20746714e8b7a3fefdabac3d5ead9c79	33	NonKeystone
34	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonas	209f39c01f47a03c22d8db8b642abc48	34	NonKeystone
35	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	Sphingomonadaceae	Sphingomonadaceae	21f33251daaea2593f8094df6600f680	35	NonKeystone
36	Bacteria	 Actinobacteriota	 Actinobacteria	 Frankiales	Frankiaceae	Jatrophihabitans	23f9772c4a17bd12b53c1109aeeb44b5	36	NonKeystone
37	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	Rhizobiaceae	Rhizobiaceae	248b90e09d982fca7e551689e9084325	37	NonKeystone
